vi,vj,length,sunhours,df,stp
0,1,2.0,0.0,0.0,1.0
1,2,28.0,675.0,0.0,1.0
2,3,11.0,1187.0,0.0,1.0
3,4,5.0,1195.0,0.0,1.0
4,5,16.0,1206.0,0.0,0.0
5,6,6.0,1202.0,0.0,0.0
6,7,6.0,1191.0,0.0,0.0
7,8,5.0,1157.0,0.0,0.0
8,9,11.0,1020.0,0.0,0.0
9,10,3.0,0.0,0.0,0.0
11,12,2.0,1043.0,1.0,0.0
12,13,6.0,1030.0,1.0,1.0
13,14,24.0,1040.0,0.0,1.0
14,15,43.0,1058.0,0.0,0.0
15,16,9.0,969.0,0.0,0.0
16,17,7.0,933.0,0.0,0.0
17,18,14.0,1000.0,0.0,0.0
18,19,9.0,1018.0,0.0,1.0
19,20,33.0,1030.0,0.0,1.0
20,21,13.0,1012.0,0.0,1.0
21,22,21.0,1058.0,0.0,1.0
22,23,40.0,1053.0,0.0,1.0
23,24,29.0,1048.0,0.0,1.0
24,25,63.0,1044.0,0.0,1.0
25,26,2.0,1041.0,1.0,1.0
26,27,12.0,1041.0,1.0,1.0
27,28,19.0,998.0,1.0,1.0
29,30,3.0,1218.0,0.0,1.0
31,32,2.0,337.0,0.0,1.0
33,34,2.0,0.0,0.0,1.0
35,36,3.0,118.0,0.0,1.0
37,38,3.0,772.0,0.0,0.0
39,40,33.0,810.0,0.0,0.0
40,41,6.0,762.0,0.0,0.0
41,42,2.0,802.0,0.0,0.0
43,44,31.0,241.0,0.0,1.0
44,45,4.0,556.0,0.0,1.0
42,46,30.0,1022.0,0.0,0.0
47,48,7.0,1169.0,0.0,1.0
48,49,15.0,1173.0,0.0,1.0
49,50,9.0,1175.0,0.0,1.0
50,51,3.0,1153.0,0.0,0.0
51,52,8.0,1161.0,0.0,1.0
52,53,36.0,1148.0,0.0,0.0
53,54,18.0,1131.0,0.0,0.0
54,55,12.0,1004.0,0.0,0.0
55,56,16.0,1081.0,0.0,1.0
56,57,38.0,1105.0,0.0,1.0
57,58,11.0,1085.0,1.0,1.0
58,59,7.0,892.0,1.0,1.0
59,60,7.0,1111.0,1.0,1.0
60,61,54.0,1073.0,0.0,1.0
61,62,63.0,1021.0,0.0,0.0
62,63,47.0,952.0,1.0,1.0
63,64,6.0,799.0,1.0,1.0
64,65,2.0,782.0,1.0,1.0
65,66,2.0,772.0,1.0,1.0
66,67,2.0,758.0,1.0,1.0
62,68,102.0,518.0,0.0,0.0
68,69,26.0,984.0,0.0,1.0
69,56,29.0,1100.0,0.0,1.0
60,70,9.0,1099.0,1.0,1.0
70,71,57.0,1050.0,0.0,0.0
71,72,10.0,961.0,0.0,0.0
72,73,10.0,953.0,0.0,0.0
73,74,20.0,956.0,0.0,1.0
74,75,48.0,1050.0,0.0,0.0
60,76,7.0,1108.0,1.0,1.0
76,77,46.0,1117.0,1.0,0.0
78,79,43.0,42.0,0.0,1.0
79,80,37.0,74.0,0.0,1.0
80,81,3.0,102.0,0.0,1.0
82,83,31.0,431.0,0.0,1.0
60,84,9.0,1105.0,1.0,1.0
84,85,11.0,1090.0,1.0,0.0
85,86,10.0,1071.0,1.0,0.0
86,87,10.0,1061.0,0.0,0.0
87,88,8.0,1053.0,0.0,0.0
88,89,9.0,1060.0,0.0,0.0
89,90,5.0,1064.0,0.0,0.0
90,91,5.0,711.0,0.0,0.0
91,92,39.0,898.0,0.0,0.0
92,93,38.0,943.0,0.0,1.0
93,74,36.0,509.0,0.0,1.0
74,94,38.0,565.0,0.0,1.0
94,95,15.0,865.0,0.0,1.0
95,96,16.0,1014.0,0.0,1.0
96,97,7.0,986.0,0.0,1.0
98,99,9.0,837.0,0.0,1.0
99,100,5.0,997.0,0.0,1.0
100,101,6.0,1019.0,0.0,1.0
101,102,11.0,1036.0,0.0,1.0
102,103,5.0,972.0,0.0,1.0
103,104,5.0,797.0,0.0,1.0
104,105,8.0,435.0,1.0,1.0
105,106,24.0,1047.0,1.0,1.0
106,107,3.0,1041.0,1.0,1.0
107,108,6.0,1047.0,1.0,1.0
108,109,22.0,536.0,1.0,1.0
109,110,27.0,879.0,1.0,1.0
110,111,11.0,972.0,1.0,1.0
111,112,14.0,884.0,1.0,0.0
112,113,3.0,255.0,1.0,0.0
113,114,4.0,105.0,1.0,0.0
114,115,8.0,72.0,1.0,0.0
115,116,21.0,943.0,0.0,0.0
116,117,18.0,437.0,0.0,1.0
117,118,6.0,978.0,0.0,0.0
118,119,6.0,977.0,0.0,0.0
119,120,2.0,977.0,0.0,0.0
116,121,8.0,956.0,0.0,1.0
121,122,7.0,973.0,0.0,1.0
122,123,6.0,950.0,0.0,1.0
123,124,6.0,894.0,0.0,1.0
115,125,5.0,526.0,0.0,0.0
125,126,22.0,926.0,0.0,0.0
126,127,9.0,876.0,0.0,1.0
127,122,4.0,962.0,0.0,1.0
128,129,2.0,820.0,0.0,0.0
129,130,12.0,822.0,0.0,1.0
130,131,12.0,497.0,0.0,1.0
131,132,28.0,919.0,0.0,1.0
132,133,10.0,822.0,0.0,0.0
133,134,65.0,636.0,1.0,1.0
134,135,11.0,1010.0,0.0,0.0
135,136,13.0,1014.0,0.0,1.0
136,137,15.0,1039.0,0.0,1.0
138,139,22.0,738.0,0.0,0.0
139,140,43.0,779.0,0.0,1.0
140,141,8.0,760.0,0.0,1.0
142,143,6.0,968.0,1.0,1.0
143,144,3.0,968.0,1.0,1.0
145,146,2.0,989.0,0.0,0.0
146,147,14.0,990.0,0.0,0.0
147,120,7.0,965.0,0.0,0.0
120,148,23.0,1000.0,0.0,0.0
148,149,5.0,996.0,0.0,1.0
149,150,4.0,1017.0,0.0,1.0
150,151,8.0,1022.0,0.0,1.0
151,152,10.0,1023.0,0.0,1.0
152,153,59.0,978.0,0.0,1.0
153,154,12.0,973.0,0.0,1.0
154,155,13.0,1067.0,0.0,1.0
155,156,9.0,1059.0,0.0,1.0
156,157,6.0,797.0,0.0,1.0
157,158,14.0,121.0,0.0,1.0
158,98,12.0,934.0,0.0,1.0
98,159,7.0,900.0,0.0,1.0
159,160,10.0,979.0,0.0,1.0
161,162,7.0,633.0,0.0,0.0
162,163,11.0,622.0,0.0,0.0
163,164,30.0,648.0,0.0,1.0
164,165,40.0,987.0,0.0,1.0
165,166,44.0,1005.0,0.0,1.0
167,165,8.0,1051.0,0.0,1.0
168,164,8.0,734.0,0.0,1.0
169,163,8.0,657.0,0.0,1.0
46,170,8.0,985.0,0.0,0.0
166,171,3.0,976.0,0.0,1.0
171,172,7.0,985.0,0.0,1.0
173,174,11.0,611.0,0.0,1.0
174,175,1.0,651.0,0.0,1.0
175,176,47.0,484.0,0.0,1.0
176,177,20.0,1038.0,0.0,1.0
178,179,19.0,239.0,0.0,1.0
180,181,34.0,531.0,0.0,1.0
182,183,23.0,735.0,0.0,1.0
184,185,2.0,1088.0,0.0,0.0
185,186,6.0,1092.0,0.0,0.0
186,187,10.0,1096.0,0.0,0.0
187,188,7.0,1102.0,0.0,0.0
189,190,6.0,641.0,0.0,1.0
190,191,4.0,647.0,0.0,1.0
191,192,3.0,652.0,0.0,1.0
192,193,0.0,654.0,0.0,1.0
193,194,3.0,657.0,0.0,1.0
194,195,0.0,660.0,0.0,1.0
195,196,3.0,661.0,0.0,1.0
196,197,5.0,665.0,0.0,1.0
197,198,7.0,671.0,0.0,1.0
198,199,6.0,689.0,0.0,1.0
199,200,9.0,723.0,0.0,1.0
185,201,5.0,1085.0,0.0,0.0
201,202,2.0,1077.0,0.0,0.0
202,203,33.0,1041.0,0.0,0.0
203,204,4.0,989.0,0.0,0.0
204,205,4.0,971.0,0.0,0.0
205,206,3.0,967.0,0.0,0.0
206,207,5.0,964.0,0.0,0.0
207,208,7.0,963.0,0.0,0.0
209,210,8.0,706.0,0.0,1.0
