geometry
LINESTRING (144.965171 -37.818289, 144.965178 -37.818305)
LINESTRING (144.965178 -37.818305, 144.965285 -37.818537)
LINESTRING (144.965285 -37.818537, 144.965327 -37.818627)
LINESTRING (144.965327 -37.818627, 144.965347 -37.818671)
LINESTRING (144.965347 -37.818671, 144.965411 -37.818802)
LINESTRING (144.965411 -37.818802, 144.965434 -37.818852)
LINESTRING (144.965434 -37.818852, 144.965458 -37.818903)
LINESTRING (144.965458 -37.818903, 144.965476 -37.818948)
LINESTRING (144.965476 -37.818948, 144.965516 -37.819043)
LINESTRING (144.965516 -37.819043, 144.965502 -37.819064)
LINESTRING (144.964988 -37.820081, 144.964962 -37.820086)
LINESTRING (144.964962 -37.820086, 144.964892 -37.820102)
LINESTRING (144.964892 -37.820102, 144.964636 -37.820163)
LINESTRING (144.964636 -37.820163, 144.964161 -37.820271)
LINESTRING (144.964161 -37.820271, 144.964102 -37.820342)
LINESTRING (144.964102 -37.820342, 144.964032 -37.820362)
LINESTRING (144.964032 -37.820362, 144.963881 -37.820402)
LINESTRING (144.963881 -37.820402, 144.963851 -37.820323)
LINESTRING (144.963851 -37.820323, 144.963493 -37.820405)
LINESTRING (144.963493 -37.820405, 144.963353 -37.820436)
LINESTRING (144.963353 -37.820436, 144.96312 -37.820488)
LINESTRING (144.96312 -37.820488, 144.962681 -37.820588)
LINESTRING (144.962681 -37.820588, 144.962364 -37.82066)
LINESTRING (144.962364 -37.82066, 144.961676 -37.820822)
LINESTRING (144.961676 -37.820822, 144.961683 -37.820841)
LINESTRING (144.961683 -37.820841, 144.961718 -37.820944)
LINESTRING (144.961718 -37.820944, 144.96191 -37.82103)
LINESTRING (144.965015 -37.819286, 144.965007 -37.819261)
LINESTRING (144.964226 -37.818279, 144.964216 -37.818259)
LINESTRING (144.965427 -37.816429, 144.965432 -37.816409)
LINESTRING (144.960096 -37.818566, 144.960107 -37.818587)
LINESTRING (144.962556 -37.814557, 144.962569 -37.814586)
LINESTRING (144.953092 -37.824324, 144.952763 -37.824187)
LINESTRING (144.952763 -37.824187, 144.952707 -37.82416)
LINESTRING (144.952707 -37.82416, 144.952688 -37.82415)
LINESTRING (144.954668 -37.816292, 144.954777 -37.81656)
LINESTRING (144.954777 -37.81656, 144.954795 -37.816593)
LINESTRING (144.952688 -37.82415, 144.952417 -37.824317)
LINESTRING (144.95229 -37.809407, 144.952367 -37.80939)
LINESTRING (144.952367 -37.80939, 144.952524 -37.809342)
LINESTRING (144.952524 -37.809342, 144.952617 -37.809319)
LINESTRING (144.952617 -37.809319, 144.952643 -37.809332)
LINESTRING (144.952643 -37.809332, 144.952735 -37.809341)
LINESTRING (144.952735 -37.809341, 144.953145 -37.809378)
LINESTRING (144.953145 -37.809378, 144.953339 -37.809434)
LINESTRING (144.953339 -37.809434, 144.95345 -37.809503)
LINESTRING (144.95345 -37.809503, 144.953555 -37.809619)
LINESTRING (144.953555 -37.809619, 144.953579 -37.809964)
LINESTRING (144.953579 -37.809964, 144.953614 -37.810061)
LINESTRING (144.953614 -37.810061, 144.953662 -37.810114)
LINESTRING (144.953662 -37.810114, 144.953733 -37.810142)
LINESTRING (144.953733 -37.810142, 144.954319 -37.810299)
LINESTRING (144.954319 -37.810299, 144.955036 -37.810363)
LINESTRING (144.955036 -37.810363, 144.955569 -37.810411)
LINESTRING (144.955569 -37.810411, 144.955636 -37.810417)
LINESTRING (144.955636 -37.810417, 144.955654 -37.810413)
LINESTRING (144.955654 -37.810413, 144.955676 -37.810409)
LINESTRING (144.955676 -37.810409, 144.955702 -37.810403)
